,brand_ch,certain,U
961,薰衣草森林,[],0
962,一引,[],0
963,巴馬,[],0
964,加拿大國寶,[],0
965,旺滴,[],0
966,巧多,[],0
967,優力巾,[],0
968,美神契約,[],0
969,艾肯,[],0
970,荷柏園,[],0
971,米徠,[],0
972,寺岡家,[],0
973,日青,[],0
974,呈禾康,[],0
975,華冠,[],0
976,小七泡泡,[],0
977,芙樂思,[],0
978,潘海利根,[],0
979,福記,[],0
980,元氣,[],0
981,清銀露,[],0
982,丸進,[],0
983,小牧好好,[],0
984,蔻蘿蘭,[],0
985,梨奧美,[],0
986,麗美,[],0
987,傳貴,[],0
988,健喬信元,[],0
989,義大利金杯咖啡,[],0
990,理研,[],0
991,探險者,[],0
992,中華豪井,[],0
993,金展輝,[],0
994,好日子,[],0
995,鼎新,[],0
996,茉娜姿,[],0
997,米物,[],0
998,氧視加,[],0
999,愛迪生,[],0
1000,芭弗莎林,[],0
1001,臻愛,[],0
1002,狐狸村,[],0
1003,維多利亞的秘密,[],0
1004,尚美德,[],0
1005,犬力食足,[],0
1006,熊愛咖啡,[],0
1007,北海道日高乳業,[],0
1008,中祥麵,[],0
1009,芙玉寶,[],0
1010,健康物語,[],0
1011,上海灘阿杜,[],0
1012,活力,[],0
1013,立菱尹,[],0
1014,德記,[],0
1015,吉妮斯,[],0
1016,木酢達人,[],0
1017,八甲田,[],0
1018,阿里山,[],0
1019,左岸,[],0
1020,李記,[],0
1021,康貝,[],0
1022,鵑城牌,[],0
1023,臻豆坊,[],0
1024,寶貝餌子,[],0
1025,元歲,[],0
1026,比依,[],0
1027,男人香,[],0
1028,川雲,[],0
1029,百年薔薇,[],0
1030,大昌,[],0
1031,地中海,[],0
1032,豪山,[],0
1033,東邦,[],0
1034,誠泰,[],0
1035,益瑞昇,[],0
1036,森萊富,[],0
1037,威靈頓,[],0
1038,永新牌,[],0
1039,鮮剖,[],0
1040,蒂克,[],0
1041,元進莊,[],0
1042,三鷹,[],0
1043,鋒味,[],0
1044,麗莎,[],0
1045,愛美力,['愛力'],1
1046,悅拭美,[],0
1047,大師兄銷魂麵舖,[],0
1048,熊寶寶,[],0
1049,源美,[],0
1050,西華,[],0
1051,亞尼活力,[],0
1052,戴春林,[],0
1053,愛司盟,[],0
1054,水森活,[],0
1055,明星,[],0
1056,火霹靂,[],0
1057,麗奇,[],0
1058,台麗,[],0
1059,台灣三洋,['三洋'],1
1060,富山,[],0
1061,遠東生技,[],0
1062,康迪斯,[],0
1063,包寧安,[],0
1064,台海生技,[],0
1065,雅如詩,[],0
1066,六甲田莊,[],0
1067,宏福牌,[],0
1068,微美咖啡,[],0
1069,愛戀咖啡,[],0
1070,優你可,[],0
1071,百樂潔,[],0
1072,朝日,[],0
1073,歡樂派,[],0
1074,伯爵,[],0
1075,益豆之優,[],0
1076,湯姆盛,[],0
1077,北海道大雪山,[],0
1078,北的快適工房,[],0
1079,德妍思,[],0
1080,海饌,[],0
1081,小太陽,[],0
1082,民生,[],0
1083,頂燒,[],0
1084,信東,[],0
1085,別海,[],0
1086,愛康,[],0
1087,德瑪愛,[],0
1088,髮蔓濃,[],0
1089,大嚐津,[],0
1090,睛亮,[],0
1091,歐米豆,[],0
1092,六合,[],0
1093,莫札特,[],0
1094,永信,[],0
1095,樂家咖啡,[],0
1096,南亞牌,[],0
1097,優護,[],0
1098,艾特優,[],0
1099,船山舒雞,[],0
1100,植英房,[],0
1101,明全牧場,[],0
1102,東森耐斯,[],0
1103,狀元,[],0
1104,瑪宣妮,[],0
1105,史努比,[],0
1106,再再之在,[],0
1107,莊淑旂養生莊園,[],0
1108,真鍋,[],0
1109,和田寬,[],0
1110,必安住,[],0
1111,武山,[],0
1112,天然磨坊,[],0
1113,非寵不可,[],0
1114,沐可麗,[],0
1115,山豬園,[],0
1116,好朋友,[],0
1117,路易莎,[],0
1118,白象,[],0
1119,丸山,[],0
1120,陸丁博士,[],0
1121,派仕,[],0
1122,川中,[],0
1123,丸友,[],0
1124,東銘,[],0
1125,雄獅,[],0
1126,自白肌,[],0
1127,齒方籤,[],0
1128,益菌革命,[],0
1129,好寶貝,[],0
1130,全植媽媽,[],0
1131,舒珊,[],0
1132,奇寶,[],0
1133,佳貝,[],0
1134,美娜多,[],0
1135,巷口乾麵,[],0
1136,大炒一番,[],0
1137,御皇居,[],0
1138,元氣王,[],0
1139,創鮮家,[],0
1140,健康總匯,[],0
1141,松木,[],0
1142,達能,[],0
