,brand_en,certain,check
940,lassie'el,[],0
941,oasy,[],0
942,gulbirlik rose,[],0
943,noodle&boo,[],0
944,lcdp,[],0
945,nanolabo,[],0
946,s&b,[],0
947,lole’s,[],0
948,i-kirei,[],0
949,lumina beauty care,[],0
950,akimia,[],0
951,menturm,[],0
952,john's blend,[],0
953,haba,[],0
954,q pnp,[],0
955,ecostore,[],0
956,merbliss,[],0
957,jumelle,[],0
958,corsini,[],0
959,happy bath,[],0
960,rudy,[],0
961,d'alba,[],0
962,mitomo,[],0
963,gerolsteiner,[],0
964,tonymoly,[],0
965,j/x,[],0
966,vv,[],0
967,emborg,[],0
968,noble isle,[],0
969,cily,[],0
970,cozy pet,[],0
971,ecover,[],0
972,smartwatch,[],0
973,lanami,[],0
974,familia,[],0
975,amice,[],0
976,leopold,[],0
977,ice river,[],0
978,noyl,[],0
979,nor.,[],0
980,bwx,[],0
981,tresemme,[],0
982,urtale,[],0
983,amstel,[],0
984,plas,[],0
985,wellage,[],0
986,miller harris,[],0
987,aroma,[],0
988,alovivi,[],0
989,djb,[],0
990,mr.bone,[],0
991,ricenal,[],0
992,domo,[],0
993,greenon,[],0
994,venalisa,[],0
995,pure'n soft,[],0
996,peach and,[],0
997,peppa pig,[],0
998,the laundress,[],0
999,wooly,[],0
1000,fossil,[],0
1001,exped,[],0
1002,bella beauty,[],0
1003,tigullio,[],0
1004,yves rocher,[],0
1005,17pin,[],0
1006,canary,[],0
1007,hinata bocco,[],0
1008,barrio,[],0
1009,ad-rocket,[],0
1010,be my boyfriend,[],0
1011,labiotte,[],0
1012,hoya,[],0
1013,corsica,[],0
1014,goshu,[],0
1015,granola house,[],0
1016,azoma,[],0
1017,petia,[],0
1018,chen's dim sum,[],0
1019,morelife,[],0
1020,modori,[],0
1021,osun,[],0
1022,farlin,[],0
1023,sigma,[],0
1024,handpurena,[],0
1025,natural food,[],0
1026,bluepine,[],0
1027,unclewu,[],0
1028,vencedor,[],0
1029,palmolive,[],0
1030,urban apothecary,[],0
1031,green pharmacy,[],0
1032,tomomasu,[],0
1033,sang-a,[],0
1034,manetti roberts,[],0
1035,healthlead,[],0
1036,turbo tent,[],0
1037,black blaze,[],0
1038,mumchit,[],0
1039,csmart+,[],0
1040,bb love,[],0
1041,zero9,[],0
1042,pecobono,[],0
1043,bodytalk,[],0
1044,iti,[],0
1045,tokyo star,[],0
1046,clair paris,[],0
1047,baan,[],0
1048,kopiko,[],0
1049,mama butter,[],0
1050,esthe dew,[],0
1051,amino,[],0
1052,bbia,[],0
1053,super pad,[],0
1054,avalon organics,[],0
1055,dapolulumi,[],0
1056,hellokitty,['hello kitty'],1
1057,j.kao,[],0
1058,demon,[],0
1059,pola,[],0
1060,botanical all-in-one,[],0
1061,ekel,[],0
1062,ufc,[],0
1063,schesir,[],0
1064,loupedeck,[],0
1065,green finger,[],0
1066,daisho,[],0
1067,le labo,[],0
1068,chinook,[],0
1069,evoluderm,[],0
1070,hope girl,[],0
1071,belif,[],0
1072,cocchi,[],0
1073,kanokwan,[],0
1074,s&w,[],0
1075,new directions,[],0
1076,forcans,[],0
1077,dr cyj,[],0
1078,percol,[],0
1079,swift,[],0
1080,medi-peel,[],0
1081,cyclax,[],0
1082,cap,[],0
1083,trimaxcell,[],0
1084,brain cosmos,[],0
1085,neatex,[],0
1086,momo girl,[],0
1087,weleda,[],0
1088,uni star,[],0
1089,jyd,[],0
1090,kitekat,[],0
1091,bv.i,[],0
1092,najel,[],0
1093,les nez,[],0
1094,vitamer,[],0
1095,babaria,[],0
1096,fasun,[],0
1097,freiz,[],0
1098,peach c,[],0
1099,arcticpet,[],0
1100,cj lion,[],0
1101,hq,[],0
1102,miss rose,[],0
1103,pureal,[],0
1104,ak,[],0
1105,institut karite paris,[],0
1106,greek gods,[],0
1107,frischli,[],0
1108,pure smile,[],0
1109,ioio,[],0
1110,cosmic mansion,[],0
1111,ayce,[],0
1112,pretty by flormar,[],0
1113,eufy,[],0
1114,hallmark,[],0
1115,anua,[],0
1116,cass,[],0
1117,dr.konopka’s,[],0
1118,b balance,[],0
1119,petest,[],0
1120,creerbeaute,[],0
1121,golife,[],0
1122,gavi,[],0
1123,jht,[],0
1124,capitano,[],0
1125,dent-inn,[],0
1126,devon,[],0
1127,honk,[],0
1128,q-pet,[],0
1129,tigi,[],0
1130,e.l.f.,[],0
1131,revablend,[],0
1132,mustela,[],0
