,brand_ch,brand_en,cleaned_brand,sim_ch,repeat,sim_en,repeaten
88,松木家電,matric,matric松木家電,[],0,[],0
89,象印,zojirushi,zojirushi象印,['象印'],0,[],0
90,齊葉雅,ziaja,ziaja齊葉雅,[],0,"[('ziaja', 100)]",0
91,寵愛之名,forbelovedone,forbelovedone寵愛之名,[],0,[],0
92,施巴,sebamed,sebamed施巴,['施巴'],0,[],0
93,海德,head,head海德,[],0,[],0
94,蒂沐蝶,timotei,timotei蒂沐蝶,[],0,"[('timotei', 100)]",0
95,紐頓,nutram,nutram紐頓,[],0,[],0
96,卡翠絲,catrice,catrice卡翠絲,[],0,[],0
97,樂金,lg,lg樂金,['樂金'],0,"[('lg', 100)]",0
98,寶拉珍選,paula's choice,paula's choice寶拉珍選,[],0,[],0
99,樂美思,numis med,numis med樂美思,[],0,[],0
100,旁氏,pond's,pond's旁氏,[],0,[],0
101,歐樂,b,b歐樂,[],0,"[('b +', 100)]",0
102,瑰柏翠,crabtree&evelyn,crabtree&evelyn瑰柏翠,['瑰柏翠'],1,[],0
103,加好寶,classic pets,classic pets加好寶,[],0,[],0
104,莫比,mobby,mobby莫比,[],0,[],0
105,碧兒泉,biotherm,biotherm碧兒泉,[],0,[],0
106,櫻特芮,integrate,integrate櫻特芮,[],0,[],0
107,伊麗莎白雅頓,elizabeth arden,elizabeth arden伊麗莎白雅頓,['伊麗莎白雅頓'],0,[],0
108,雅男士,lab series,lab series雅男士,[],0,[],0
109,蘇菲娜,sofina,sofina蘇菲娜,[],0,[],0
110,德國小甘菊,herbacin,herbacin德國小甘菊,[],0,[],0
111,奧佳華,ogawa,ogawa奧佳華,[],0,"[('okawa', 80)]",0
112,聖萊西,seeds,seeds聖萊西,[],0,[],1
113,沛奇,pei ci,pei ci沛奇,[],0,[],0
114,資生堂,shiseido,shiseido資生堂,['資生堂'],0,"[('shiseido men', 80)]",1
115,蕾莉歐,l'erbolario,l'erbolario蕾莉歐,['蕾莉歐'],1,[],0
116,高絲,kose,kose高絲,[],0,[],1
117,艾瑪絲,aromase,aromase艾瑪絲,[],0,"[('aroma', 83)]",0
118,敏感話題,d program,d program敏感話題,[],0,[],0
119,后,whoo,whoo后,[],0,[],0
120,寶瀅,persil,persil寶瀅,[],0,"[('persil', 100)]",0
121,山頂鳥,hilltop,hilltop山頂鳥,[],0,[],0
122,雅詩蘭黛,estee lauder,estee lauder雅詩蘭黛,[],0,[],0
123,牙周適,parodontax,parodontax牙周適,[],0,[],0
124,牛頭牌,buffalo,buffalo牛頭牌,['牛頭牌'],0,[],0
